name,rating,company_type,employee_count,ownership_status,company_age,head_quarters,reviews,salaries,interviews,jobs,benefits
Bhilai Engineering Corporation,3.9,Industrial Machinery,501-1k Employees,Public,63 years old,Bhilai/Bhillai,219,1.1k,3,6,25
Nabard Financial Services,4.2,Government,1k-5k Employees,Public,14 years old,Bengaluru,219,682,8,--,16
Signode,4.0,N/A,501-1k Employees,N/A,110 years old,Glenview,219,1.4k,13,1,37
Military Engineer Services,4.4,Engineering & Construction,51-200 Employees,Public,100 years old,Delhi/NCR,219,608,4,--,30
Cipla Health,4.4,Pharma,501-1k Employees,Public,10 years old,Mumbai,219,970,13,--,34
Suburban Diagnostics,3.9,Healthcare,201-500 Employees,N/A,29 years old,Mumbai,218,1k,5,--,29
Iconic,4.1,Retail,201-500 Employees,N/A,10 years old,Gurugram,218,918,10,4,27
Arabian Construction Company,4.0,Engineering & Construction,10k-50k Employees,N/A,56 years old,Beirut,218,758,12,--,30
International Automotive Components,3.8,Auto Components,501-1k Employees,N/A,17 years old,Southfield,218,1.5k,7,2,26
Uneecops Technologies,4.1,IT Services & Consulting,501-1k Employees,N/A,28 years old,Delhi/NCR,218,1.7k,11,1,35
Uneecops Technologies,4.1,IT Services & Consulting,501-1k Employees,N/A,28 years old,Delhi/NCR,218,1.7k,11,1,35
Oberoi Realty,3.8,Real Estate,501-1k Employees,Public,43 years old,Mumbai,218,1.5k,14,15,41
