name,rating,company_type,employee_count,ownership_status,company_age,head_quarters,reviews,salaries,interviews,jobs,benefits
Shoppers Stop,4.2,Retail,5k-10k Employees,Public,32 years old,Mumbai,2.2k,7.6k,66,4,328
Carelon Global Solutions,4.0,IT Services & Consulting,5k-10k Employees,N/A,N/A,N/A,2.2k,18k,225,14,45
Cogent E Services,3.4,BPO,10k-50k Employees,Conglomerate,19 years old,Noida,2.2k,8.3k,151,2,228
Indian Oil Corporation,4.4,Oil & Gas,10k-50k Employees,Fortune India 500,64 years old,Delhi/NCR,2.2k,7k,150,--,303
Ceat Tyres,4.0,Auto Components,5k-10k Employees,Public,65 years old,Mumbai,2.2k,11k,109,3,360
GeBBS Healthcare Solutions,3.7,BPO,5k-10k Employees,N/A,18 years old,Culver City,2.2k,10k,90,107,304
Kotak Mahindara Life Insurance,3.8,Insurance,10k-50k Employees,Public,22 years old,Mumbai,2.2k,10.5k,131,169,268
Dabur,3.8,FMCG,5k-10k Employees,Public,139 years old,Ghaziabad,2.2k,7.1k,137,18,278
PNB MetLife,3.5,Insurance,5k-10k Employees,Conglomerate,22 years old,Mumbai,2.2k,6.8k,101,503,225
Reliance Digital,4.2,Retail,5k-10k Employees,N/A,16 years old,Mumbai,2.2k,7k,67,2,276
ACC,3.9,Building Material,5k-10k Employees,Public,87 years old,Mumbai,2.1k,9.1k,129,8,278
JK Cement,4.1,Building Material,1k-5k Employees,Public,49 years old,Gurgaon/Gurugram,2.1k,7.6k,159,--,258
S&P Global,4.2,IT Services & Consulting,5k-10k Employees,Public,106 years old,New York City,2.1k,14.6k,120,5,235
Marpu Foundation,4.9,Non-Profit,11-50 Employees,N/A,7 years old,Hyderabad/Secunderabad,2.1k,8,23,--,68
IndiGo,3.6,Aviation,10k-50k Employees,Fortune India 500,18 years old,Gurgaon/Gurugram,2.1k,10.9k,254,75,321
Jubilant Foods Works,3.8,Hospitality,10k-50k Employees,Public,28 years old,Noida,2.1k,7k,95,111,186
Torrent Pharmaceuticals,3.9,Pharma,10k-50k Employees,Public,52 years old,Ahmedabad,2.1k,10.1k,69,9,334
HARMAN,3.8,Consumer Electronics & Appliances,5k-10k Employees,Public,14 years old,Stamford,2.1k,8.4k,61,2,119
Bajaj Electricals,4.1,Consumer Electronics & Appliances,1k-5k Employees,Public,85 years old,Mumbai,2.1k,8k,93,44,302
Reliance SMSL,4.0,BPO,1k-5k Employees,Public,16 years old,Mumbai,2.1k,5.6k,119,1,283
ArcelorMittal Nippon Steel,4.0,Iron & Steel,5k-10k Employees,Conglomerate,N/A,N/A,2.1k,8.5k,116,9,121
Titan Company,4.4,Retail,5k-10k Employees,Public,39 years old,Bangalore,2.1k,7.9k,84,90,349
Birlasoft,3.7,IT Services & Consulting,10k-50k Employees,Public,28 years old,Pune,2.1k,24.1k,163,100,243
Simplex Infrastructures,3.3,Engineering & Construction,1k-5k Employees,Public,99 years old,Kolkata,2.1k,7.5k,45,13,290
KPIT Technologies,3.6,Software Product,5k-10k Employees,Public,33 years old,Pune,2.1k,18.3k,132,8,306
Wipro Enterprises Ltd,3.8,IT Services & Consulting,501-1k Employees,N/A,78 years old,Bangalore,2.1k,5.5k,107,2,436
Synechron,4.0,IT Services & Consulting,5k-10k Employees,N/A,22 years old,New York,2k,22k,170,114,270
UPL,4.1,Agro Chemicals,5k-10k Employees,Public,54 years old,Mumbai,2k,9.7k,113,48,322
Dilip Buildcon,4.0,Engineering & Construction,10k-50k Employees,Public,36 years old,Bhopal,2k,7.8k,93,8,295
Lenskart,3.2,Internet,5k-10k Employees,Indian Unicorn,13 years old,Faridabad,2k,8.6k,168,178,208
Huawei Technologies,4.0,IT Services & Consulting,51-200 Employees,N/A,21 years old,Gurgaon/Gurugram,2k,12.2k,74,6,299
Domino's Pizza,4.0,Hospitality,1k-5k Employees,Public,63 years old,Ypsilanti,2k,4.7k,60,4,392
KocharTech,4.2,IT Services & Consulting,1k-5k Employees,N/A,28 years old,Gurgaon/Gurugram,2k,3.8k,49,55,605
Statestreet HCL Services,3.2,BPO,5k-10k Employees,N/A,11 years old,New Delhi,2k,16.3k,153,--,216
Apollo Tyres,4.1,Auto Components,5k-10k Employees,Public,51 years old,Gurgaon/Gurugram,2k,8.8k,88,16,337
Patanjali Ayurved,4.0,FMCG,5k-10k Employees,Fortune India 500,17 years old,Haridwar,2k,7.9k,83,5,261
Tata AIG,4.2,Insurance,5k-10k Employees,N/A,23 years old,Mumbai,2k,9.2k,95,91,246
Tech Mahindra Business Services,3.5,BPO,5k-10k Employees,Public,20 years old,Mumbai,2k,10.8k,205,4,328
AGS Health,4.0,BPO,10k-50k Employees,N/A,12 years old,Washington DC,2k,10.1k,94,23,281
Capita,3.9,IT Services & Consulting,5k-10k Employees,N/A,18 years old,Indore,2k,13.9k,92,36,337
Flex,4.1,Electronics Manufacturing,5k-10k Employees,Forbes Global 2000,54 years old,San Jose,2k,18.2k,109,31,455
Suzlon Group,4.1,Power,5k-10k Employees,Public,28 years old,Pune,2k,7.8k,73,13,358
McDonald's,4.2,Hospitality,5k-10k Employees,Forbes Global 2000,68 years old,Chicago,2k,4.9k,63,17,418
AFCONS Infrastructure,4.4,Engineering & Construction,10k-50k Employees,N/A,64 years old,Mumbai,2k,6.9k,144,6,314
Lava International,4.1,Consumer Electronics & Appliances,1k-5k Employees,Public,14 years old,Noida,2k,5.5k,43,17,303
Alstom Transportation,3.9,Engineering & Construction,5k-10k Employees,Forbes Global 2000,95 years old,Saint-Ouen,2k,8.8k,153,66,188
Square Yards,3.7,Real Estate,1k-5k Employees,N/A,10 years old,Gurgaon,1.9k,7.2k,134,634,277
Zensar Technologies,3.8,IT Services & Consulting,5k-10k Employees,Public,22 years old,Pune,1.9k,23.8k,141,66,271
Mankind Pharma,4.1,Pharma,10k-50k Employees,Fortune India 500,28 years old,New Delhi,1.9k,7.5k,130,37,253
IGT Solutions,3.3,IT Services & Consulting,5k-10k Employees,N/A,25 years old,Gurgaon/Gurugram,1.9k,10k,120,93,240
State Street Syntel,3.7,Financial Services,501-1k Employees,N/A,19 years old,Mumbai,1.9k,12.3k,48,--,287
Taj Hotels Resorts and Palaces,4.2,Hospitality,10k-50k Employees,N/A,120 years old,Mumbai,1.9k,5.8k,69,40,175
Capgemini Engineering,3.6,N/A,10k-50k Employees,N/A,N/A,N/A,1.9k,19.4k,178,81,154
Max Healthcare,4.1,Healthcare,1k-5k Employees,Fortune India 500,22 years old,Delhi/NCR,1.9k,8.2k,74,111,251
Walmart,4.0,Retail,5k-10k Employees,Forbes Global 2000,14 years old,Bangalore/Bengaluru,1.9k,12.4k,181,144,358
Bajaj Allianz General Insurance,4.0,Insurance,5k-10k Employees,N/A,N/A,N/A,1.9k,8.3k,54,30,246
Birla Sun Life Insurance,4.2,Insurance,10k-50k Employees,N/A,23 years old,Mumbai,1.9k,6.8k,75,3,215
Tata Technologies,3.7,IT Services & Consulting,5k-10k Employees,Conglomerate,34 years old,Singapore,1.9k,17k,135,172,325
Landmark Group,4.0,Retail,1k-5k Employees,Conglomerate,50 years old,Dubai Marina,1.9k,8.7k,76,135,277
Nestle,4.1,Food Processing,5k-10k Employees,Public,64 years old,Vevey,1.9k,8.5k,164,34,322
EY Global Delivery Services ( EY GDS),3.7,Accounting & Auditing,50k-1 Lakh Employees,N/A,21 years old,Bangalore/Bengaluru,1.9k,5.2k,281,--,164
Tractors and Farm Equipment,4.1,Automobile,5k-10k Employees,Public,63 years old,Chennai,1.9k,8.4k,67,50,287
State Street Corporation,3.8,Financial Services,10k-50k Employees,Forbes Global 2000,231 years old,Boston,1.9k,19.6k,104,91,282
Blue Dart Express,4.2,Logistics,10k-50k Employees,Public,40 years old,Mumbai,1.9k,6.2k,63,5,235
HDFC Sales,4.0,Financial Services,10k-50k Employees,N/A,19 years old,Mumbai,1.9k,7.6k,110,50,196
Societe Generale,3.9,Financial Services,1k-5k Employees,N/A,23 years old,Bangalore/Bengaluru,1.9k,17.3k,137,12,304
Fiserv,3.7,FinTech,5k-10k Employees,Forbes Global 2000,39 years old,Brookfield,1.9k,17.2k,93,122,328
Fortis Healthcare,4.0,Healthcare,5k-10k Employees,Public,27 years old,Gurgaon/Gurugram,1.8k,7k,76,45,141
Nokia,4.2,Hardware & Networking,10k-50k Employees,Forbes Global 2000,158 years old,Espoo,1.8k,17.2k,141,15,541
ElasticRun,3.4,Logistics,1k-5k Employees,Indian Unicorn,7 years old,Pune,1.8k,5.7k,193,35,234
Ola Cabs,3.5,Internet,1k-5k Employees,Indian Unicorn,13 years old,Bangalore,1.8k,11.6k,100,478,241
I Process Services,3.9,Recruitment,1k-5k Employees,N/A,18 years old,Mumbai,1.8k,4.7k,49,12,131
BlackBuck,3.9,Logistics,1k-5k Employees,Indian Unicorn,8 years old,Bangalore,1.8k,5.9k,123,66,247
UNO Minda,4.0,Auto Components,201-500 Employees,Fortune India 500,65 years old,Gurgaon,1.8k,8.1k,100,8,276
Johnson Controls,3.3,Industrial Automation,5k-10k Employees,Public,28 years old,Cork,1.8k,13.1k,153,29,279
Lifestyle,4.4,Retail,10k-50k Employees,Fortune India 500,24 years old,Bangalore/Bengaluru,1.8k,7.1k,46,19,289
Britannia,4.1,Food Processing,1k-5k Employees,Public,131 years old,Reading,1.8k,6.8k,100,37,256
Micro Labs,3.6,Pharma,10k-50k Employees,N/A,50 years old,Bangalore/Bengaluru,1.8k,8.5k,68,10,215
Voltas,4.0,Consumer Electronics & Appliances,1k-5k Employees,Public,69 years old,Mumbai,1.8k,7.7k,73,2,257
Extramarks Education,3.5,EdTech,1k-5k Employees,N/A,16 years old,Noida,1.8k,8.2k,140,123,151
RSPL Group,4.1,FMCG,10k-50k Employees,N/A,36 years old,Mumbai,1.8k,8k,87,10,303
Exide Industries,3.5,Auto Components,5k-10k Employees,Public,76 years old,Kolkata,1.8k,6.9k,101,66,249
Eureka Forbes,3.9,Consumer Electronics & Appliances,1k-5k Employees,N/A,41 years old,Mumbai,1.8k,6k,40,9,228
Radisson Hotels,4.0,Hospitality,10k-50k Employees,N/A,114 years old,Minnetonka,1.8k,6.2k,39,4,314
Future Retail,4.3,Retail,10k-50k Employees,Public,36 years old,San Francisco,1.7k,6.3k,41,2,259
TVS Supply Chain Solutions,3.9,Logistics,1k-5k Employees,N/A,127 years old,Chennai,1.7k,8.1k,78,15,201
G4S,4.0,Law Enforcement & Security,1 Lakh+ Employees,N/A,27 years old,Gurgaon/Gurugram,1.7k,4.6k,53,--,234
Croma,4.1,Retail,5k-10k Employees,N/A,17 years old,Mumbai,1.7k,6.1k,60,137,192
JMC Projects,4.2,Engineering & Construction,1k-5k Employees,Public,41 years old,Mumbai,1.7k,5.9k,76,1,265
PepsiCo,4.1,Food Processing,1 Lakh+ Employees,Forbes Global 2000,34 years old,Harrison,1.7k,7.7k,98,182,255
Aditya Birla Group,4.1,Retail,10k-50k Employees,Conglomerate,166 years old,Mumbai,1.7k,10.1k,121,5,245
Grasim Industries,4.0,Building Material,10k-50k Employees,Public,76 years old,Nagda,1.7k,8k,104,5,260
Rivigo,3.9,Internet,1k-5k Employees,Indian Unicorn,9 years old,Gurgaon,1.7k,7.4k,64,5,242
The Himalaya Drug Company,4.1,Pharma,5k-10k Employees,N/A,93 years old,San Francisco,1.7k,6k,59,22,269
TVS Credit,4.3,NBFC,10k-50k Employees,Public,15 years old,Chennai,1.7k,5.7k,56,41,204
Ajanta Pharma,4.0,Pharma,5k-10k Employees,Public,50 years old,Mumbai,1.7k,7.9k,79,7,217
ACT Fibernet,4.1,Telecom,5k-10k Employees,N/A,15 years old,Bengaluru/Bangalore,1.7k,6.7k,72,165,257
Sterlite Technologies,3.9,Hardware & Networking,1k-5k Employees,Public,35 years old,Pune,1.7k,9.7k,111,41,218
Shree Cement,4.0,Building Material,5k-10k Employees,Public,44 years old,Kolkata,1.7k,8.3k,95,--,231
Nokia Networks,4.3,Hardware & Networking,501-1k Employees,N/A,N/A,N/A,1.7k,6.4k,80,--,21
Quest Global,3.6,IT Services & Consulting,10k-50k Employees,N/A,26 years old,Singapore,1.7k,15.4k,146,278,205
Tata Teleservices,4.1,Telecom,201-500 Employees,Public,27 years old,Mumbai,1.7k,5.1k,26,1,261
Blue Star,4.1,Consumer Electronics & Appliances,1k-5k Employees,Public,80 years old,Mumbai,1.7k,8.4k,89,1,244
Dalmia Bharat Cement,4.0,Building Material,5k-10k Employees,Public,88 years old,Delhi/NCR,1.7k,7.5k,85,2,238
IKS Health,3.6,Healthcare,5k-10k Employees,N/A,16 years old,Mumbai,1.7k,8.5k,121,61,238
Life Insurance Corporation of India,4.3,Insurance,1 Lakh+ Employees,Fortune India 500,67 years old,Mumbai,1.7k,4.5k,53,8,242
Sonalika Tractors,3.7,Automobile,1k-5k Employees,N/A,54 years old,Hoshiarpur,1.7k,7.8k,88,1,184
Cholamandalam MS General Insurance,3.9,Insurance,1k-5k Employees,N/A,22 years old,Chennai,1.7k,5.6k,53,4,167
Delhi Public School,3.8,Education & Training,1k-5k Employees,Public,25 years old,Greater Noida,1.7k,5.4k,71,88,266
Yazaki,3.8,Auto Components,10k-50k Employees,N/A,82 years old,Tokyo,1.6k,7.4k,79,4,263
Pfizer,4.1,Pharma,5k-10k Employees,Public,19 years old,Chennai,1.6k,6.1k,44,62,282
XpressBees,3.8,Logistics,5k-10k Employees,Indian Unicorn,8 years old,Pune,1.6k,6.6k,104,196,182
Emcure Pharmaceuticals,3.8,Pharma,5k-10k Employees,Fortune India 500,42 years old,Pune,1.6k,8.1k,75,85,247
Barclays,4.0,Banking,10k-50k Employees,Forbes Global 2000,333 years old,London,1.6k,19.4k,123,43,274
Zomato,3.7,Internet,1k-5k Employees,Public,15 years old,Gurgaon,1.6k,11k,164,10,219
Renault-Nissan,4.1,Automobile,10k-50k Employees,N/A,16 years old,Chennai,1.6k,8.2k,50,3,268
Mahindra Logistics,4.1,Logistics,1k-5k Employees,Public,23 years old,Mumbai,1.6k,7.6k,81,24,221
Samsung Electronics,4.0,N/A,N/A,N/A,N/A,N/A,1.6k,8.3k,36,101,228
Datamatics Global Services,3.5,IT Services & Consulting,5k-10k Employees,Public,48 years old,Mumbai,1.6k,10.8k,95,191,191
Kalpataru Power Transmission,4.1,Engineering & Construction,1k-5k Employees,Public,42 years old,Mumbai,1.6k,6.3k,83,8,208
DS Group,4.0,FMCG,1k-5k Employees,Conglomerate,94 years old,Noida,1.6k,5.6k,68,64,220
Indus Towers,4.0,Telecom,1k-5k Employees,Fortune India 500,16 years old,Gurgaon,1.6k,6.6k,99,38,208
Parle Agro,4.2,Beverage,1k-5k Employees,N/A,39 years old,Mumbai,1.6k,6.2k,65,5,221
Kyndryl,4.1,IT Services & Consulting,10k-50k Employees,N/A,2 years old,New York,1.6k,13.4k,80,38,176
V-Mart,4.2,Retail,5k-10k Employees,Public,21 years old,Gurgaon/Gurugram,1.6k,3.8k,87,76,216
BHEL,4.2,Electrical Equipment,10k-50k Employees,Fortune India 500,59 years old,Bangalore/Bengaluru,1.6k,5.3k,75,--,215
Mahindra Holidays & Resorts,3.6,Hospitality,5k-10k Employees,N/A,27 years old,Mumbai,1.6k,5.9k,59,77,202
PVR Cinemas,4.1,Media & Entertainment,1k-5k Employees,Public,26 years old,Gurgaon,1.6k,5.5k,57,46,247
Raymond,4.1,Fashion & Textile,5k-10k Employees,Public,98 years old,New York,1.6k,7.1k,58,30,240
Movate,3.5,IT Services & Consulting,1k-5k Employees,N/A,27 years old,Plano,1.6k,10.6k,163,46,20
Indian Railways,4.1,Railways,1 Lakh+ Employees,Central,170 years old,Delhi/NCR,1.6k,2.9k,60,--,167
SRF,4.2,Chemicals,5k-10k Employees,Public,53 years old,Gurgaon/Gurugram,1.6k,6.8k,103,7,278
Info Edge,4.1,Internet,1k-5k Employees,Public,28 years old,Noida,1.5k,9.8k,184,728,288
HCL Infosystems,3.9,IT Services & Consulting,51-200 Employees,Public,47 years old,Noida,1.5k,9.6k,121,1,228
Reliance Trends,4.3,Retail,1 Lakh+ Employees,Conglomerate,17 years old,Navi Mumbai,1.5k,4.3k,71,--,223
Cybage,4.0,IT Services & Consulting,5k-10k Employees,N/A,28 years old,Pune,1.5k,16.1k,105,141,290
Kansai Nerolac Paints,3.8,Chemicals,1k-5k Employees,Public,103 years old,Mumbai,1.5k,5.9k,84,76,195
Kalyan Jewellers,4.8,Jewellery,5k-10k Employees,Fortune India 500,30 years old,Bengaluru/Bangalore,1.5k,1.3k,32,8,59
ICICI Securities,3.8,Financial Services,1k-5k Employees,Public,28 years old,Mumbai,1.5k,8k,91,36,184
Ambuja Cements,3.9,Building Material,5k-10k Employees,Public,40 years old,Mumbai,1.5k,6.1k,72,--,217
Poonawalla Fincorp,3.9,NBFC,1k-5k Employees,Public,35 years old,Mumbai,1.5k,5k,31,74,134
Shell,4.4,Oil & Gas,5k-10k Employees,Public,19 years old,London,1.5k,10.7k,114,59,268
Motilal Oswal Financial Services,3.7,Financial Services,5k-10k Employees,Public,36 years old,Mumbai,1.5k,8.6k,98,91,176
Whirlpool,4.2,Consumer Electronics & Appliances,1k-5k Employees,Public,112 years old,Michigan,1.5k,7.7k,53,20,209
ZS,3.6,Management Consulting,5k-10k Employees,N/A,40 years old,Evanston,1.5k,11.9k,212,46,282
Cadila Pharmaceuticals,3.3,Pharma,5k-10k Employees,Public,72 years old,Ahmedabad,1.5k,6.6k,70,10,186
Shriram City,4.1,Financial Services,50k-1 Lakh Employees,Public,37 years old,Chennai,1.5k,6.4k,38,7,165
Myntra,4.1,Internet,1k-5k Employees,N/A,16 years old,Bangalore,1.5k,8.5k,110,97,314
3i Infotech,3.5,IT Services & Consulting,1k-5k Employees,Public,30 years old,Mumbai,1.5k,10.6k,93,52,154
JCB,3.9,Industrial Machinery,1k-5k Employees,N/A,78 years old,Rocester,1.5k,8.3k,71,--,250
Force Motors,3.5,Automobile,1k-5k Employees,Public,65 years old,Pune,1.5k,7.7k,80,--,165
Blinkit,3.8,Internet,1k-5k Employees,Indian Unicorn,10 years old,Gurgaon,1.5k,7.8k,95,8,202
Fujitsu,3.9,IT Services & Consulting,5k-10k Employees,Forbes Global 2000,88 years old,Bangalore/Bengaluru,1.5k,13.6k,96,63,198
Shahi Exports,4.0,Retail,1 Lakh+ Employees,N/A,49 years old,Faridabad,1.5k,6.9k,68,3,237
Endurance Technologies,3.8,Auto Components,1k-5k Employees,Public,38 years old,Aurangabad,1.5k,7k,65,4,241
Sterling & Wilson,4.1,Engineering & Construction,501-1k Employees,N/A,96 years old,Mumbai,1.5k,8.1k,46,7,210
Bharti AXA Life Insurance,3.9,Insurance,5k-10k Employees,N/A,17 years old,Mumbai,1.5k,5k,85,12,171
Lodha group,4.1,Real Estate,1k-5k Employees,Fortune India 500,43 years old,Mumbai,1.5k,7.5k,72,128,197
Kent RO Systems,4.2,Consumer Electronics & Appliances,1k-5k Employees,N/A,24 years old,Noida,1.5k,4.8k,51,21,114
ITC Hotels,4.1,Hospitality,5k-10k Employees,Public,48 years old,Kolkata,1.5k,5.6k,49,--,202
Sobha,4.0,Real Estate,1k-5k Employees,Public,28 years old,Bangalore/Bengaluru,1.5k,7.6k,63,46,217
Delphi TVS,4.0,Auto Components,1k-5k Employees,N/A,34 years old,Kanchipuram,1.5k,5.7k,56,--,204
Syngene International,3.9,Pharma,1k-5k Employees,Public,30 years old,Bangalore/Bengaluru,1.5k,9.7k,102,66,240
Tata Elxsi,4.0,IT Services & Consulting,10k-50k Employees,Public,34 years old,Bangalore/Bengaluru,1.5k,13.2k,159,142,210
Brakes India,4.0,Auto Components,501-1k Employees,Fortune India 500,61 years old,Chennai,1.4k,6.6k,41,5,206
Bharat Petroleum,4.1,Oil & Gas,5k-10k Employees,Fortune India 500,71 years old,Mumbai,1.4k,6.3k,98,--,192
Aavas Financiers,4.0,Financial Services,5k-10k Employees,Public,12 years old,Jaipur,1.4k,5.2k,62,36,138
Future Generali India Life Insurance,3.8,Insurance,1k-5k Employees,N/A,16 years old,Mumbai,1.4k,6.4k,61,92,166
Bureau Veritas,3.9,Other,1k-5k Employees,Forbes Global 2000,195 years old,Paris La Défense,1.4k,7k,58,32,180
suzuki motor gujarat,4.3,N/A,N/A,N/A,N/A,N/A,1.4k,5.9k,89,8,195
JK Tyres,3.8,Auto Components,1k-5k Employees,Fortune India 500,72 years old,New Delhi,1.4k,6.4k,53,3,195
MSN Laboratories,3.8,Pharma,10k-50k Employees,N/A,20 years old,Hyderabad/Secunderabad,1.4k,6.3k,54,44,178
Coromandel International,4.1,Agriculture,5k-10k Employees,Public,62 years old,Hyderabad/Secunderabad,1.4k,6.3k,63,52,224
Taurus BPO Services,4.7,BPO,1k-5k Employees,N/A,8 years old,Pune,1.4k,602,12,1,523
café Coffee day,4.0,Beverage,10k-50k Employees,N/A,27 years old,Bengaluru,1.4k,4.6k,24,17,176
Mahindra Rural Housing Finance,4.1,Financial Services,5k-10k Employees,Public,16 years old,Mumbai,1.4k,3.7k,50,32,183
Care Health Insurance,3.7,Internet,5k-10k Employees,Public,11 years old,Gurgaon,1.4k,6.7k,72,51,175
NoBroker,3.3,Internet,1k-5k Employees,Indian Unicorn,9 years old,Bangalore,1.4k,6.5k,121,422,359
Sopra Steria,4.0,IT Services & Consulting,5k-10k Employees,Conglomerate,55 years old,Paris,1.4k,12.8k,69,33,255
Tata Motors Finance,4.1,NBFC,1k-5k Employees,Conglomerate,66 years old,Mumbai,1.4k,4.4k,51,178,154
Jindal Stainless,4.2,Iron & Steel,1k-5k Employees,Public,53 years old,Delhi/NCR,1.4k,8.1k,89,1,204
Citicorp,3.8,Financial Services,1k-5k Employees,N/A,26 years old,Mumbai,1.4k,16.5k,138,52,274
Adani Wilmar,4.2,FMCG,1k-5k Employees,Public,24 years old,Ahmedabad,1.4k,5.3k,62,11,174
Gabriel India,4.2,Auto Components,1k-5k Employees,Public,62 years old,Pune,1.4k,5.3k,58,--,253
Fincare Small Finance Bank,4.0,NBFC,5k-10k Employees,N/A,16 years old,Bangalore,1.4k,5.6k,71,3,152
Cisco,4.4,IT Services & Consulting,10k-50k Employees,Public,39 years old,San Jose,1.4k,14.8k,206,4,233
Unacademy,3.4,EdTech,1k-5k Employees,Indian Unicorn,8 years old,Bangalore,1.4k,7.8k,115,152,163
ABC,3.9,Broadcasting,1k-5k Employees,Public,80 years old,New York,1.4k,22.4k,241,55,85
Canara HSBC Life Insurance,3.7,Insurance,5k-10k Employees,N/A,15 years old,Gurgaon/Gurugram,1.4k,5.4k,61,22,170
UpGrad,4.0,EdTech,1k-5k Employees,Indian Unicorn,8 years old,San Francisco,1.4k,5.9k,120,270,144
Thomson Reuters,4.1,Legal,5k-10k Employees,Forbes Global 2000,15 years old,Toronto,1.4k,10.4k,48,5,232
RMSI,3.8,IT Services & Consulting,1k-5k Employees,N/A,31 years old,Noida,1.4k,7k,55,15,185
CAMS,3.6,IT Services & Consulting,5k-10k Employees,N/A,35 years old,Chennai,1.4k,6.7k,64,21,57
GVK Emergency Management and Research Institute,3.7,Non-Profit,10k-50k Employees,N/A,18 years old,Hyderabad/Secunderabad,1.4k,4.1k,44,19,184
Indian Navy,4.6,Defence & Aerospace,50k-1 Lakh Employees,Central,73 years old,Delhi/NCR,1.4k,3.5k,16,--,251
Power Mech Projects,3.8,Engineering & Construction,1k-5k Employees,Public,16 years old,Hyderabad/Secunderabad,1.4k,6.2k,71,2,165
Lucas-TVS,4.0,Auto Components,5k-10k Employees,N/A,62 years old,Chennai,1.4k,5.8k,50,4,224
Ninjacart,3.9,Logistics,1k-5k Employees,Startup,8 years old,Bangalore,1.4k,5.3k,69,42,139
SAP,4.3,Software Product,10k-50k Employees,Forbes Global 2000,51 years old,Walldorf,1.4k,12.5k,175,48,310
VVDN Technologies,3.6,IT Services & Consulting,5k-10k Employees,N/A,16 years old,Gurgaon,1.4k,8.6k,98,93,144
Foundever,3.8,BPO,5k-10k Employees,Conglomerate,38 years old,Miami,1.3k,5.4k,71,86,215
Honda,4.1,Automobile,10k-50k Employees,Forbes Global 2000,38 years old,Greater Noida,1.3k,5.6k,79,5,209
Bank of Baroda,3.5,Banking,50k-1 Lakh Employees,Fortune India 500,115 years old,Vadodara/Baroda,1.3k,5.6k,65,8,149
PhonePe,4.1,FinTech,5k-10k Employees,Indian Unicorn,8 years old,Bangalore,1.3k,6.6k,116,157,189
ValueLabs,3.9,IT Services & Consulting,5k-10k Employees,N/A,26 years old,Hyderabad/Secunderabad,1.3k,14.2k,94,109,284
Parle Products,3.9,Food Processing,1k-5k Employees,N/A,94 years old,Mumbai,1.3k,3.8k,55,7,203
Big Bazaar,4.2,Retail,10k-50k Employees,Conglomerate,22 years old,Mumbai,1.3k,4.8k,33,--,191
